Id;Question;Answer
1;605 no.'lu Otobüs Hattı’nın durakları nelerdir?;605 no'lu Otobüs Hattının durakları, ADÜ, Forum Aydın, Zafer Meydanı, Tren Garı ve Otogar'dır.
2;605 no.'lu Otobüs Hattı’nın kalkış saatleri nelerdir?;605 no.'lu Otobüs Hattı’nın kalkış saatleri 6.15, 9.00, 9.45, 12.05, 14.20, 16.50 ve 18.30'dur.
3;605 no.'lu Otobüs Hattı’nın Forum Aydın'a varış süresi nedir?;605 no.'lu Otobüs Hattı’nın Forum Aydın'a varış süresi 10 dakikadır.
4;605 no.'lu Otobüs Hattı’nın Zafer Meydanı'na varış süresi nedir?;605 no.'lu Otobüs Hattı’nın Zafer Meydanı'na varış süresi 25 dakikadır.
5;605 no.'lu Otobüs Hattı’nın Tren Garı'na varış süresi nedir?;605 no.'lu Otobüs Hattı’nın Tren Garı'na varış süresi 30 dakikadır.
6;605 no.'lu Otobüs Hattı’nın Otogar'a varış süresi nedir?;605 no.'lu Otobüs Hattı'nın Otogar'a varış süresi 50 dakikadır.
7;605 no.'lu Otobüs Hattı'nın fiyatlandırması nedir?;605 no.'lu Otobüs Hattı'nın fiyatlandırması herkes için 2.90 TL'dir.
8;606 no.'lu Otobüs Hattı'nın durakları nelerdir?;606 no'lu Otobüs Hattının durakları, Karpuzlu, Koçarlı, İncirliova, Söke ve Kuşadası'dır.
9;606 no.'lu Otobüs Hattı'nın kalkış saatleri nelerdir?;606 no.'lu Otobüs Hattı'nın kalkış saatleri 6.00, 8.45, 9.30, 11.50, 14.05, 16.35 ve 18.15'dir.
10;606 no.'lu Otobüs Hattı'nın Koçarlı'ya varış süresi nedir?;606 no.'lu Otobüs Hattı'nın Koçarlı'ya varış süresi 35 dakikadır.
11;606 no.'lu Otobüs Hattı'nın İncirliova'ya varış süresi nedir?;606 no.'lu Otobüs Hattı'nın İncirliova'ya varış süresi 1 saat 25 dakikadır.
12;606 no.'lu Otobüs Hattı'nın Söke'ye varış süresi nedir?;606 no.'lu Otobüs Hattı'nın Söke'ye varış süresi 1 saat 55 dakikadır.
13;606 no.'lu Otobüs Hattı'nın Kuşadası'na varış süresi nedir?;606 no.'lu Otobüs Hattı'nın Kuşadası'na varış süresi 1 saat 35 dakikadır.
14;606 no.'lu Otobüs Hattı'nın fiyatlandırması nedir?;606 no.'lu Otobüs Hattı'nın fiyatlandırması öğrenciler için 2.50 TL ile 4.40 TL arasında, öğrenci olmayanlarda 2.90 TL ile 4.80 TL arasında değişmektedir.
15;607 no.'lu Otobüs Hattı'nın durakları nelerdir?;607 no'lu Otobüs Hattının durakları, Köşk, Germencik, Efeler, Bozdoğan ve Çine'dir.
16;607 no.'lu Otobüs Hattı'nın kalkış saatleri nelerdir?;607 no.'lu Otobüs Hattı'nın kalkış saatleri 7.30, 10.15, 11.00, 13.20, 15.35, 18.05, 19.45'dir.
17;607 no.'lu Otobüs Hattı'nın Germencik'e varış süresi nedir?;607 no.'lu Otobüs Hattı'nın Germencik'e varış süresi 30 dakikadır.
18;607 no.'lu Otobüs Hattı'nın Efeler'e varış süresi nedir?;607 no.'lu Otobüs Hattı'nın Efeler'e varış süresi 55 dakikadır.
19;607 no.'lu Otobüs Hattı'nın Bozdoğan'a varış süresi nedir?;607 no.'lu Otobüs Hattı'nın Bozdoğan'a varış süresi 1 saat 15 dakikadır.
20;607 no.'lu Otobüs Hattı'nın Çine'ye varış süresi nedir?;607 no.'lu Otobüs Hattı'nın Çine'ye varış süresi 1 saat 35 dakikadır.
21;607 no.'lu Otobüs Hattı'nın fiyatlandırması nedir?;607 no.'lu Otobüs Hattı'nın fiyatlandırması öğrenciler için 2.60 TL ile 3.50 TL arasında, öğrenci olmayanlarda 3 TL ile 3.90 TL arasında değişmektedir.
